JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,,,,,
"Result of I B.Tech II Semester (R19/R20) Regular/Supplementary Examinations, August-2022",,,,,
,College name: ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY:P3,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits
20P31A0161,R201201,MATHEMATICS-II,18,F,0
20P31A0161,R201202,ENGINEERING CHEMISTRY,15,F,0
Htno,Subcode,Subname,Internals,Grade,Credits
20P31A0161,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,14,F,0
20P31A0161,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,14,F,0
20P31A0163,R201201,MATHEMATICS-II,16,ABSENT,0
20P31A0163,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,12,F,0
20P31A0163,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,12,F,0
20P31A0165,R201201,MATHEMATICS-II,18,D,3
20P31A0165,R201202,ENGINEERING CHEMISTRY,9,ABSENT,0
20P31A0165,R201203,ENGINEERING MECHANICS,18,F,0
20P31A0165,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,8,F,0
20P31A0165,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,12,F,0
20P31A0167,R201201,MATHEMATICS-II,9,F,0
20P31A0167,R201202,ENGINEERING CHEMISTRY,13,F,0
20P31A0168,R201203,ENGINEERING MECHANICS,18,D,3
20P31A0170,R201203,ENGINEERING MECHANICS,19,D,3
20P31A0170,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0
20P31A0172,R201203,ENGINEERING MECHANICS,21,F,0
20P31A0173,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0
20P31A0173,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,12,F,0
20P31A0201,R201207,APPLIED PHYSICS,16,F,0
20P31A0202,R201207,APPLIED PHYSICS,14,F,0
20P31A0202,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,22,F,0
20P31A0204,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,17,E,3
20P31A0205,R201208,DATA STRUCTURES THROUGH C,22,ABSENT,0
20P31A0205,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,20,F,0
20P31A0206,R201206,MATHEMATICS-III,19,F,0
20P31A0206,R201207,APPLIED PHYSICS,16,F,0
20P31A0206,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,15,F,0
20P31A0207,R201206,MATHEMATICS-III,20,F,0
20P31A0207,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,17,F,0
20P31A0210,R201206,MATHEMATICS-III,21,F,0
20P31A0210,R201207,APPLIED PHYSICS,14,F,0
20P31A0210,R201208,DATA STRUCTURES THROUGH C,20,F,0
20P31A0210,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,14,F,0
20P31A0210,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,16,F,0
20P31A0211,R201206,MATHEMATICS-III,21,F,0
20P31A0211,R201207,APPLIED PHYSICS,19,F,0
20P31A0213,R201206,MATHEMATICS-III,23,D,3
20P31A0215,R201207,APPLIED PHYSICS,15,F,0
20P31A0217,R201206,MATHEMATICS-III,23,F,0
20P31A0219,R201206,MATHEMATICS-III,18,F,0
20P31A0225,R201207,APPLIED PHYSICS,20,F,0
20P31A0225,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,15,F,0
20P31A0225,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,14,E,3
20P31A0228,R201206,MATHEMATICS-III,18,F,0
20P31A0229,R201206,MATHEMATICS-III,13,E,3
20P31A0230,R201206,MATHEMATICS-III,17,F,0
20P31A0230,R201207,APPLIED PHYSICS,17,F,0
20P31A0230,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,13,ABSENT,0
20P31A0230,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,21,E,3
20P31A0232,R201206,MATHEMATICS-III,17,F,0
20P31A0232,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,15,E,3
Htno,Subcode,Subname,Internals,Grade,Credits
20P31A0232,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,16,E,3
20P31A0233,R201206,MATHEMATICS-III,22,F,0
20P31A0233,R201207,APPLIED PHYSICS,20,F,0
20P31A0233,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,20,F,0
20P31A0234,R201206,MATHEMATICS-III,17,F,0
20P31A0236,R201207,APPLIED PHYSICS,20,ABSENT,0
20P31A0237,R201207,APPLIED PHYSICS,20,F,0
20P31A0237,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,18,F,0
20P31A0237,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,19,F,0
20P31A0239,R201206,MATHEMATICS-III,21,F,0
20P31A0239,R201207,APPLIED PHYSICS,13,F,0
20P31A0239,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,11,E,3
20P31A0239,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,19,E,3
20P31A0240,R201206,MATHEMATICS-III,22,F,0
20P31A0240,R201207,APPLIED PHYSICS,18,F,0
20P31A0240,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,19,F,0
20P31A0240,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,23,F,0
20P31A0242,R201207,APPLIED PHYSICS,19,F,0
20P31A0246,R201206,MATHEMATICS-III,23,F,0
20P31A0246,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,19,F,0
20P31A0255,R201206,MATHEMATICS-III,21,F,0
20P31A0255,R201207,APPLIED PHYSICS,19,D,3
20P31A0255,R201208,DATA STRUCTURES THROUGH C,19,E,3
20P31A0261,R201207,APPLIED PHYSICS,21,F,0
20P31A0262,R201206,MATHEMATICS-III,21,F,0
20P31A0262,R201207,APPLIED PHYSICS,13,F,0
20P31A0262,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,12,F,0
20P31A0262,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,11,F,0
20P31A0264,R201206,MATHEMATICS-III,22,C,3
20P31A0265,R201206,MATHEMATICS-III,20,F,0
20P31A0265,R201207,APPLIED PHYSICS,11,F,0
20P31A0265,R201208,DATA STRUCTURES THROUGH C,14,F,0
20P31A0265,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,12,F,0
20P31A0265,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,18,F,0
20P31A0266,R201207,APPLIED PHYSICS,12,E,3
20P31A0266,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,16,F,0
20P31A0268,R201206,MATHEMATICS-III,10,F,0
20P31A0268,R201207,APPLIED PHYSICS,9,F,0
20P31A0268,R201208,DATA STRUCTURES THROUGH C,13,F,0
20P31A0268,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,5,F,0
20P31A0268,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,5,F,0
20P31A0269,R201207,APPLIED PHYSICS,15,F,0
20P31A0270,R201207,APPLIED PHYSICS,14,F,0
20P31A0270,R201208,DATA STRUCTURES THROUGH C,15,F,0
20P31A0270,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,17,F,0
20P31A0270,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,17,F,0
20P31A0272,R201206,MATHEMATICS-III,17,F,0
20P31A0272,R201207,APPLIED PHYSICS,11,F,0
20P31A0272,R201208,DATA STRUCTURES THROUGH C,12,F,0
20P31A0272,R201209,ELECTRICAL CIRCUIT ANALYSIS-I,15,F,0
20P31A0272,R201227,BASIC CIVIL AND MECHANICAL ENGINEERING,18,F,0
Htno,Subcode,Subname,Internals,Grade,Credits
20P31A0274,R201207,APPLIED PHYSICS,23,E,3
20P31A0302,R201201,MATHEMATICS-II,19,F,0
20P31A0302,R201202,ENGINEERING CHEMISTRY,16,F,0
20P31A0302,R201210,ENGINEERING MECHANICS,22,F,0
20P31A0303,R201201,MATHEMATICS-II,20,F,0
20P31A0303,R201202,ENGINEERING CHEMISTRY,13,F,0
20P31A0303,R201210,ENGINEERING MECHANICS,22,F,0
20P31A0303,R201211,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,19,F,0
20P31A0303,R201254,THERMODYNAMICS,23,F,0
20P31A0304,R201201,MATHEMATICS-II,21,F,0
20P31A0304,R201202,ENGINEERING CHEMISTRY,13,F,0
20P31A0304,R201210,ENGINEERING MECHANICS,18,F,0
20P31A0305,R201201,MATHEMATICS-II,25,F,0
20P31A0305,R201202,ENGINEERING CHEMISTRY,20,F,0
20P31A0307,R201202,ENGINEERING CHEMISTRY,16,F,0
20P31A0307,R201210,ENGINEERING MECHANICS,18,F,0
20P31A0307,R201254,THERMODYNAMICS,22,F,0
20P31A0309,R201201,MATHEMATICS-II,20,ABSENT,0
20P31A0309,R201202,ENGINEERING CHEMISTRY,15,F,0
