,,,,,,,,,,,,,,,,,,,,,
,Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,
132,,,20MH1A0509,,,R204105I,,,BLOCK CHAIN TECHNOLOGIES,,,18,,,D,,,3,,,
133,,,20MH1A0509,,,R204105M,,,API AND MICROSERVICES(JOB ORIENTED COURS,,,13,,,E,,,3,,,
134,,,20MH1A05D1,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,30,,,C,,,3,,,
135,,,20MH1A05D1,,,R204104U,,,BASIC ELECTRONICS,,,21,,,E,,,3,,,
136,,,20MH1A05D1,,,R2041053,,,MEAN STACK TECHNOLOGIES-MODULE II-ANGULA,,,0,,,B,,,2,,,
137,,,20MH1A05D1,,,R2041055,,,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,,,0,,,A+,,,3,,,
138,,,20MH1A05D1,,,R204105A,,,CLOUD COMPUTING,,,25,,,D,,,3,,,
139,,,20MH1A05D1,,,R204105F,,,SOCIAL NETWORKS & SEMANTIC WEB,,,23,,,C,,,3,,,
140,,,20MH1A05D1,,,R204105I,,,BLOCK CHAIN TECHNOLOGIES,,,21,,,C,,,3,,,
141,,,20MH1A05D1,,,R204105M,,,API AND MICROSERVICES(JOB ORIENTED COURS,,,23,,,A,,,3,,,
142,,,20P31A0106,,,R204101D,,,URBAN TRANSPORTATION PLANNING,,,14,,,ABSENT,,,0,,,
143,,,20P31A0123,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,F,,,0,,,
144,,,20P31A0126,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,D,,,3,,,
145,,,20P31A0139,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,F,,,0,,,
146,,,20P31A0143,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,F,,,0,,,
147,,,20P31A0143,,,R204103W,,,SAFETY ENGINEERING,,,18,,,F,,,0,,,
Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,,
148,,,20P31A0144,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,D,,,3,,,
149,,,20P31A0146,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,19,,,E,,,3,,,
150,,,20P31A0146,,,R204101D,,,URBAN TRANSPORTATION PLANNING,,,12,,,E,,,3,,,
151,,,20P31A0146,,,R204101E,,,GROUND IMPROVEMENT TECHNIQUES,,,10,,,E,,,3,,,
152,,,20P31A0146,,,R204103P,,,ADDITIVE MANUFACTURING,,,14,,,E,,,3,,,
153,,,20P31A0146,,,R204103W,,,SAFETY ENGINEERING,,,17,,,F,,,0,,,
154,,,20P31A0148,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,F,,,0,,,
155,,,20P31A0157,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,B,,,3,,,
156,,,20P31A0160,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,F,,,0,,,
157,,,20P31A0168,,,R204101L,,,SWAYAM / NPTEL /MOOCS COURSES (12 WEEKS,,,0,,,F,,,0,,,
158,,,20P31A0201,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,22,,,D,,,3,,,
159,,,20P31A0203,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,22,,,E,,,3,,,
160,,,20P31A0203,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,22,,,F,,,0,,,
161,,,20P31A0210,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,15,,,F,,,0,,,
162,,,20P31A0211,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,21,,,F,,,0,,,
163,,,20P31A0216,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,23,,,B,,,3,,,
164,,,20P31A0221,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,22,,,F,,,0,,,
165,,,20P31A0229,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,19,,,D,,,3,,,
166,,,20P31A0229,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,10,,,D,,,3,,,
167,,,20P31A0232,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,22,,,F,,,0,,,
168,,,20P31A0232,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,22,,,F,,,0,,,
169,,,20P31A0232,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,18,,,F,,,0,,,
170,,,20P31A0233,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,20,,,D,,,3,,,
